,ticker,symbol,per,pbr,dividend_yield
518,067830,세이브존I&C,6.72,0.17,1.39
519,075580,세진중공업,16.08,2.33,2.69
520,068270,셀트리온,110.85,2.4,0.25
521,336370,솔루스첨단소재,5.56,1.58,0.38
522,33637K,솔루스첨단소재1우,1.12,0.32,1.92
523,33637L,솔루스첨단소재2우B,2.33,0.66,0.91
524,248070,솔루엠,10.76,2.15,
525,004430,송원산업,8.66,0.38,2.24
526,126720,수산인더스트리,7.07,0.63,3.65
527,017550,수산중공업,8.62,0.67,0.52
528,053210,스카이라이프,,0.34,7.07
529,204210,스타에스엠리츠,,,
530,026890,스틱인베스트먼트,10.98,1.22,2.98
531,134790,시디즈,20.14,0.71,1.79
532,462870,시프트업,31.05,16.01,
533,016590,신대양제지,4.81,0.31,2.66
534,029530,신도리코,6.87,0.33,3.96
535,004970,신라교역,3.95,0.26,5.2
536,011930,신성이엔지,95.95,1.41,
537,005390,신성통상,5.31,0.72,2.23
538,004170,신세계,6.45,0.32,2.76
539,035510,신세계 I&C,5.49,0.32,3.69
540,034300,신세계건설,,0.64,
541,031430,신세계인터내셔날,11.17,0.56,2.98
542,031440,신세계푸드,11.01,0.47,2.08
543,006880,신송홀딩스,7.31,0.73,1.73
544,005800,신영와코루,21.86,0.22,1.68
545,001720,신영증권,9.3,0.38,5.66
546,009270,신원,39.31,0.43,5.56
547,002700,신일전자,67.36,1.27,1.01
548,002870,신풍,,0.4,1.85
549,019170,신풍제약,,3.49,
550,019175,신풍제약우,,5.46,
551,481850,신한글로벌액티브리츠,,,
552,404990,신한서부티엔디리츠,,,
553,293940,신한알파리츠,,,
554,055550,신한지주,6.99,0.54,3.61
555,004080,신흥,15.69,1.17,1.91
556,102280,쌍방울,,0.69,
557,004770,써니전자,15.97,0.71,1.9
558,403550,쏘카,,3.18,
559,004920,씨아이테크,,1.04,
560,112610,씨에스윈드,,3.07,0.79
561,308170,씨티알모빌리티,,0.65,
562,008700,아남전자,12.67,0.89,
563,002790,아모레G,22.31,0.67,0.98
564,00279K,아모레G3우(전환),16.92,0.51,3.51
565,002795,아모레G우,8.48,0.26,2.63
566,090430,아모레퍼시픽,49.01,1.71,0.75
567,090435,아모레퍼시픽우,14.46,0.5,2.55
568,002030,아세아,5.38,0.38,2.03
569,183190,아세아시멘트,4.34,0.41,2.24
570,002310,아세아제지,4.71,0.39,6.07
571,012170,아센디오,,2.53,
572,267850,아시아나IDT,15.64,1.08,3.16
573,020560,아시아나항공,61.4,1.45,
574,122900,아이마켓코리아,17.04,0.77,7.08
575,010780,아이에스동서,15.54,0.43,6.76
576,139990,아주스틸,,0.68,
577,001780,알루코,12.42,0.85,
578,018250,애경산업,9.92,1.14,3.3
579,161000,애경케미칼,50.79,0.68,2.42
580,011090,에넥스,,0.83,
581,137310,에스디바이오센서,,0.6,
582,005850,에스엘,4.47,0.79,2.59
583,010580,에스엠벡셀,,2.1,
584,012750,에스원,11.94,1.25,4.72
585,033530,에스제이지세종,14.91,0.32,2.99
586,023960,에쓰씨엔지니어링,,1.28,
587,298690,에어부산,2.53,1.36,
588,140910,에이리츠,,,
589,078520,에이블씨엔씨,22.06,2.25,18.27
590,015260,에이엔피,,1.18,
591,007460,에이프로젠,,3.48,
592,003060,에이프로젠바이오로직스,,0.24,
593,244920,에이플러스에셋,7.89,0.65,4.6
594,278470,에이피알,23.25,6.92,
595,450080,에코프로머티,,7.04,
596,036570,엔씨소프트,27.0,1.19,1.63
597,085310,엔케이,1.23,0.39,
598,900140,엘브이엠씨홀딩스,,0.97,
599,066970,엘앤에프,,3.05,
600,097520,엠씨넥스,10.17,1.04,2.98
601,014440,영보화학,6.09,0.41,1.43
602,111770,영원무역,3.83,0.54,3.22
603,009970,영원무역홀딩스,3.21,0.39,4.85
604,003520,영진약품,1355.0,5.28,
605,000670,영풍,,0.14,3.12
606,006740,영풍제지,,0.55,2.8
607,012280,영화금속,5.86,0.61,2.4
608,012160,영흥,,0.18,
609,015360,예스코홀딩스,17.47,0.4,19.73
610,007310,오뚜기,9.99,0.73,2.15
611,002630,오리엔트바이오,4.62,0.7,
612,271560,오리온,9.39,1.25,1.33
613,001800,오리온홀딩스,9.09,0.42,4.85
614,011690,와이투솔루션,12.26,1.1,
615,316140,우리금융지주,5.07,0.38,6.08
616,006980,우성,5.05,0.24,1.8
617,017370,우신시스템,13.01,1.09,0.68
618,105840,우진,13.91,0.95,2.38
619,010400,우진아이엔에스,,0.27,
620,049800,우진플라임,,0.47,2.04
621,016880,웅진,,1.29,
622,095720,웅진씽크빅,,0.68,
623,005820,원림,4.86,0.26,3.17
624,010600,웰바이오텍,,1.47,
625,008600,윌비스,,0.28,
626,033270,유나이티드제약,12.01,0.91,1.76
627,014830,유니드,14.94,0.6,1.92
628,446070,유니드비티플러스,8.19,0.25,
629,000910,유니온,,0.58,2.8
630,047400,유니온머티리얼,,1.63,
631,011330,유니켐,,1.04,
632,077500,유니퀘스트,7.51,0.51,3.72
633,002920,유성기업,,0.21,2.55
634,000700,유수홀딩스,15.23,0.39,6.6
635,003470,유안타증권,9.58,0.38,6.06
636,003475,유안타증권우,10.03,0.4,7.39
637,072130,유엔젤,19.34,0.67,
638,000220,유유제약,,0.84,
639,000225,유유제약1우,,0.83,
640,000227,유유제약2우B,,1.84,
641,001200,유진투자증권,27.01,0.44,1.22
